"RHQ460Q.Code.or.Value","RHQ460Q.Value.Description","RHQ460Q.Count","RHQ460Q.Cumulative","RHQ460Q.Skip.to.Item"
"1 to 44","Range of Values",1647,1647,NA
"77","Refused",0,1647,NA
"99","Don't know",20,1667,NA
".","Missing",1631,3298,NA
