"DR1INIAC.Code.or.Value","DR1INIAC.Value.Description","DR1INIAC.Count","DR1INIAC.Cumulative","DR1INIAC.Skip.to.Item"
"0 to 182.325","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
