"LBDF05LC.Code.or.Value","LBDF05LC.Value.Description","LBDF05LC.Count","LBDF05LC.Cumulative","LBDF05LC.Skip.to.Item"
"0","At or above the detection limit",298,298,NA
"1","Below lower detection limit",1,299,NA
".","Missing",2,301,NA
