"ALQ155.Code.or.Value","ALQ155.Value.Description","ALQ155.Count","ALQ155.Cumulative","ALQ155.Skip.to.Item"
"1 to 60","Range of Values",588,588,NA
"666","Less than 1 year",64,652,NA
"777","Refused",0,652,NA
"999","Don't know",3,655,NA
".","Missing",4960,5615,NA
