"WTSSNH2Y.Code.or.Value","WTSSNH2Y.Value.Description","WTSSNH2Y.Count","WTSSNH2Y.Cumulative","WTSSNH2Y.Skip.to.Item"
"14793.649452 to 384147.9949","Range of Values",2071,2071,NA
"0","No lab specimen",14,2085,NA
".","Missing",0,2085,NA
