"SSHPVCEL.Code.or.Value","SSHPVCEL.Value.Description","SSHPVCEL.Count","SSHPVCEL.Cumulative","SSHPVCEL.Skip.to.Item"
"1133 to 3355392","Range of Values",766,766,NA
".","Missing",3,769,NA
