"URD4FPLC.Code.or.Value","URD4FPLC.Value.Description","URD4FPLC.Count","URD4FPLC.Cumulative","URD4FPLC.Skip.to.Item"
"0","At or above the detection limit",273,273,NA
"1","Below lower detection limit",2396,2669,NA
".","Missing",90,2759,NA
