"SSCENPOS.Code.or.Value","SSCENPOS.Value.Description","SSCENPOS.Count","SSCENPOS.Cumulative","SSCENPOS.Skip.to.Item"
"0","0",4265,4265,NA
".","Missing",0,4265,NA
