"OPX2OSFP.Code.or.Value","OPX2OSFP.Value.Description","OPX2OSFP.Count","OPX2OSFP.Cumulative","OPX2OSFP.Skip.to.Item"
"0","Test not performed",20,20,NA
"1","0/3",2872,2892,NA
"2","1/3",312,3204,NA
"3","2/3",57,3261,NA
"4","3/3",21,3282,NA
".","Missing",581,3863,NA
