"WTSPH03.Code.or.Value","WTSPH03.Value.Description","WTSPH03.Count","WTSPH03.Cumulative","WTSPH03.Skip.to.Item"
"0 to 784169.09415","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
