"DX2RLTOT.Code.or.Value","DX2RLTOT.Value.Description","DX2RLTOT.Count","DX2RLTOT.Cumulative","DX2RLTOT.Skip.to.Item"
"7073.7 to 31272.5","Range of Values",466,466,NA
".","Missing",19,485,NA
