"OPDDTIL.Code.or.Value","OPDDTIL.Value.Description","OPDDTIL.Count","OPDDTIL.Cumulative","OPDDTIL.Skip.to.Item"
"0","No",400,400,NA
"1","Yes",12,412,NA
"3","Ungradable",6,418,NA
".","Missing",3445,3863,NA
