"TeloStd.Code.or.Value","TeloStd.Value.Description","TeloStd.Count","TeloStd.Cumulative","TeloStd.Skip.to.Item"
"0.0020484511 to 2.8256059456","Range of Values",4260,4260,NA
".","Missing",9,4269,NA
