"BPQ040D.Code.or.Value","BPQ040D.Value.Description","BPQ040D.Count","BPQ040D.Cumulative","BPQ040D.Skip.to.Item"
"1","Yes",1095,1095,NA
"2","No",701,1796,NA
"7","Refused",0,1796,NA
"9","Don't know",5,1801,NA
".","Missing",4412,6213,NA
