"WHD220.Code.or.Value","WHD220.Value.Description","WHD220.Count","WHD220.Cumulative","WHD220.Skip.to.Item"
"0 to 250","Range of Values",3412,3412,NA
"77777","Refused",4,3416,NA
"99999","Don't know",67,3483,NA
".","Missing",2692,6175,NA
