"LBDBPBLC.Code.or.Value","LBDBPBLC.Value.Description","LBDBPBLC.Count","LBDBPBLC.Cumulative","LBDBPBLC.Skip.to.Item"
"0","At or above the detection limit",6880,6880,NA
"1","Below lower detection limit",4,6884,NA
".","Missing",1482,8366,NA
