"RFXT086.Code.or.Value","RFXT086.Value.Description","RFXT086.Count","RFXT086.Cumulative","RFXT086.Skip.to.Item"
"743 to 752","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
