"LBXTBN.Code.or.Value","LBXTBN.Value.Description","LBXTBN.Count","LBXTBN.Cumulative","LBXTBN.Skip.to.Item"
"0 to 5.06","Range of Values",7112,7112,NA
".","Missing",709,7821,NA
