"WTSBA18.Code.or.Value","WTSBA18.Value.Description","WTSBA18.Count","WTSBA18.Cumulative","WTSBA18.Skip.to.Item"
"0 to 357359.01204","Range of Values",946,946,NA
".","Missing",65,1011,NA
