"OCQ360.Code.or.Value","OCQ360.Value.Description","OCQ360.Count","OCQ360.Cumulative","OCQ360.Skip.to.Item"
"1 to 14","Range of Values",474,474,NA
"7777","Refused",0,474,NA
"9999","Don't know",2,476,NA
".","Missing",5737,6213,NA
