"SPXBF257.Code.or.Value","SPXBF257.Value.Description","SPXBF257.Count","SPXBF257.Cumulative","SPXBF257.Skip.to.Item"
"246 to 5164","Range of Values",457,457,NA
".","Missing",7038,7495,NA
