"LBXHXC.Code.or.Value","LBXHXC.Value.Description","LBXHXC.Count","LBXHXC.Cumulative","LBXHXC.Skip.to.Item"
"10.96 to 1296.2","Range of Values",1866,1866,NA
".","Missing",419,2285,NA
