"AGQ040.Code.or.Value","AGQ040.Value.Description","AGQ040.Count","AGQ040.Cumulative","AGQ040.Skip.to.Item"
"1","Yes",2614,2614,""
"2","No",7178,9792,"AGQ070"
"7","Refused",0,9792,"AGQ070"
"9","Don't know",30,9822,"AGQ070"
".","Missing",0,9822,""
