"DXXLALI.Code.or.Value","DXXLALI.Value.Description","DXXLALI.Count","DXXLALI.Cumulative","DXXLALI.Skip.to.Item"
"723.8 to 8671.4","Range of Values",4095,4095,NA
".","Missing",1019,5114,NA
