"OPDSAGA.Code.or.Value","OPDSAGA.Value.Description","OPDSAGA.Count","OPDSAGA.Cumulative","OPDSAGA.Skip.to.Item"
"0","No",3090,3090,NA
"1","Yes",13,3103,NA
".","Missing",760,3863,NA
