"AAXFLST.Code.or.Value","AAXFLST.Value.Description","AAXFLST.Count","AAXFLST.Cumulative","AAXFLST.Skip.to.Item"
"1","Collected",6947,6947,NA
"2","Not collected",16,6963,NA
".","Missing",2477,9440,NA
