"DXXPT46Y.Code.or.Value","DXXPT46Y.Value.Description","DXXPT46Y.Count","DXXPT46Y.Cumulative","DXXPT46Y.Skip.to.Item"
"138.9 to 364.1","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
