"DEQ083H.Code.or.Value","DEQ083H.Value.Description","DEQ083H.Count","DEQ083H.Cumulative","DEQ083H.Skip.to.Item"
"17","Buttocks",27,27,NA
".","Missing",3113,3140,NA
