"DX2PEA.Code.or.Value","DX2PEA.Value.Description","DX2PEA.Count","DX2PEA.Cumulative","DX2PEA.Skip.to.Item"
"62.44 to 348","Range of Values",443,443,NA
".","Missing",42,485,NA
