"SSBDCPP.Code.or.Value","SSBDCPP.Value.Description","SSBDCPP.Count","SSBDCPP.Cumulative","SSBDCPP.Skip.to.Item"
"0.071 to 122","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
