"RFXC106.Code.or.Value","RFXC106.Value.Description","RFXC106.Count","RFXC106.Cumulative","RFXC106.Skip.to.Item"
"-7.379 to 5.198","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
