"ENQ100.Code.or.Value","ENQ100.Value.Description","ENQ100.Count","ENQ100.Cumulative","ENQ100.Skip.to.Item"
"1","Yes",1299,1299,NA
"2","No",5529,6828,NA
"7","Refused",0,6828,NA
"9","Don't know",4,6832,NA
".","Missing",663,7495,NA
