"MGXH1T3.Code.or.Value","MGXH1T3.Value.Description","MGXH1T3.Count","MGXH1T3.Cumulative","MGXH1T3.Skip.to.Item"
"5 to 81.2","Range of Values",7786,7786,NA
".","Missing",505,8291,NA
