"DXXPT63Y.Code.or.Value","DXXPT63Y.Value.Description","DXXPT63Y.Count","DXXPT63Y.Cumulative","DXXPT63Y.Skip.to.Item"
"102.1 to 308.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
