"OPDSPED.Code.or.Value","OPDSPED.Value.Description","OPDSPED.Count","OPDSPED.Cumulative","OPDSPED.Skip.to.Item"
"0","No",3091,3091,NA
"1","Yes",7,3098,NA
".","Missing",765,3863,NA
