"RFXC062.Code.or.Value","RFXC062.Value.Description","RFXC062.Count","RFXC062.Cumulative","RFXC062.Skip.to.Item"
"-7.553 to 5.25","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
