"DXXAC8AN.Code.or.Value","DXXAC8AN.Value.Description","DXXAC8AN.Count","DXXAC8AN.Cumulative","DXXAC8AN.Skip.to.Item"
"0 to 4","Range of Values",3140,3140,NA
".","Missing",568,3708,NA
