"AGQ080A.Code.or.Value","AGQ080A.Value.Description","AGQ080A.Count","AGQ080A.Cumulative","AGQ080A.Skip.to.Item"
"1","Dog",38,38,NA
"7","Refused",0,38,NA
"9","Don't know",0,38,NA
".","Missing",9784,9822,NA
