"DX2LLBMD.Code.or.Value","DX2LLBMD.Value.Description","DX2LLBMD.Count","DX2LLBMD.Cumulative","DX2LLBMD.Skip.to.Item"
"0.865 to 1.867","Range of Values",467,467,NA
".","Missing",18,485,NA
