"PAXMXM.Code.or.Value","PAXMXM.Value.Description","PAXMXM.Count","PAXMXM.Cumulative","PAXMXM.Skip.to.Item"
"0 to 645.693","Range of Values",88221604,88221604,NA
"-0.01","Value could not be computed",1875,88223479,NA
".","Missing",0,88223479,NA
