"RFXC095.Code.or.Value","RFXC095.Value.Description","RFXC095.Count","RFXC095.Cumulative","RFXC095.Skip.to.Item"
"-7.428 to 5.07","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
