"BPXDAR.Code.or.Value","BPXDAR.Value.Description","BPXDAR.Count","BPXDAR.Cumulative","BPXDAR.Skip.to.Item"
"0 to 127","Range of Values",7837,7837,NA
".","Missing",2640,10477,NA
