"WTSAU14.Code.or.Value","WTSAU14.Value.Description","WTSAU14.Count","WTSAU14.Cumulative","WTSAU14.Skip.to.Item"
"0 to 486501.67505","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
