"DR1TS120.Code.or.Value","DR1TS120.Value.Description","DR1TS120.Count","DR1TS120.Cumulative","DR1TS120.Skip.to.Item"
"0 to 42.181","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
