"CVACUFF.Code.or.Value","CVACUFF.Value.Description","CVACUFF.Count","CVACUFF.Cumulative","CVACUFF.Skip.to.Item"
"1","Child",84,84,NA
"2","Adult",1491,1575,NA
"3","Large arm",1637,3212,NA
".","Missing",1451,4663,NA
