"VTQ200B.Code.or.Value","VTQ200B.Value.Description","VTQ200B.Count","VTQ200B.Cumulative","VTQ200B.Skip.to.Item"
"1","Yes",23,23,NA
"2","No",625,648,NA
"7","Refused",0,648,NA
"9","Don't know",0,648,NA
".","Missing",203,851,NA
