"WTSPH35.Code.or.Value","WTSPH35.Value.Description","WTSPH35.Count","WTSPH35.Cumulative","WTSPH35.Skip.to.Item"
"0 to 742569.15561","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
