"DXXBICRT.Code.or.Value","DXXBICRT.Value.Description","DXXBICRT.Count","DXXBICRT.Cumulative","DXXBICRT.Skip.to.Item"
"0.6 to 1.1","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
