"SSBCEP.Code.or.Value","SSBCEP.Value.Description","SSBCEP.Count","SSBCEP.Cumulative","SSBCEP.Skip.to.Item"
"0.071 to 156","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
