"AUDTYL64.Code.or.Value","AUDTYL64.Value.Description","AUDTYL64.Count","AUDTYL64.Cumulative","AUDTYL64.Skip.to.Item"
"0 to 2.59","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
