"DIQ010.Code.or.Value","DIQ010.Value.Description","DIQ010.Count","DIQ010.Cumulative","DIQ010.Skip.to.Item"
"1","Yes",893,893,""
"2","No",7816,8709,"DIQ159"
"3","Borderline",184,8893,"DIQ159"
"7","Refused",0,8893,"DIQ159"
"9","Don't know",4,8897,"DIQ159"
".","Missing",0,8897,""
