"WBXF103.Code.or.Value","WBXF103.Value.Description","WBXF103.Count","WBXF103.Cumulative","WBXF103.Skip.to.Item"
"7127.1897 to 7127.1897","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
