"SSMR1_N.Code.or.Value","SSMR1_N.Value.Description","SSMR1_N.Count","SSMR1_N.Cumulative","SSMR1_N.Skip.to.Item"
"24.8 to 2410","Range of Values",1751,1751,NA
".","Missing",27,1778,NA
