"CIQP50.Code.or.Value","CIQP50.Value.Description","CIQP50.Count","CIQP50.Cumulative","CIQP50.Skip.to.Item"
"0 to 40","Range of Values",30,30,NA
"77","Refused",0,30,NA
"99","Don't know",1,31,NA
".","Missing",819,850,NA
