"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 21900","Range of Values",14027,14027,NA
"77777","Refused",4,14031,NA
"99999","Don't know",278,14309,NA
".","Missing",5334,19643,NA
