"LBCBR9.Code.or.Value","LBCBR9.Value.Description","LBCBR9.Count","LBCBR9.Cumulative","LBCBR9.Skip.to.Item"
"1.131 to 78.76","Range of Values",265,265,NA
".","Missing",0,265,NA
