"WBXF078.Code.or.Value","WBXF078.Value.Description","WBXF078.Count","WBXF078.Cumulative","WBXF078.Skip.to.Item"
"3462.1462 to 3462.1462","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
