"WBXF008.Code.or.Value","WBXF008.Value.Description","WBXF008.Count","WBXF008.Cumulative","WBXF008.Skip.to.Item"
"385.5527 to 385.5527","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
