"DED2PSDX.Code.or.Value","DED2PSDX.Value.Description","DED2PSDX.Count","DED2PSDX.Cumulative","DED2PSDX.Skip.to.Item"
"1","Present",67,67,NA
"2","Absent",2616,2683,NA
"9","Not determined, picture missing",13,2696,NA
".","Missing",296,2992,NA
