"CBD070.Code.or.Value","CBD070.Value.Description","CBD070.Count","CBD070.Cumulative","CBD070.Skip.to.Item"
"0 to 4285","Range of Values",9850,9850,NA
"777777","Refused",14,9864,NA
"999999","Don't know",188,10052,NA
".","Missing",123,10175,NA
