"SSPFUA.Code.or.Value","SSPFUA.Value.Description","SSPFUA.Count","SSPFUA.Cumulative","SSPFUA.Skip.to.Item"
"0.07 to 0.07","Range of Values",2328,2328,NA
".","Missing",0,2328,NA
