"AUDTYR05.Code.or.Value","AUDTYR05.Value.Description","AUDTYR05.Count","AUDTYR05.Cumulative","AUDTYR05.Skip.to.Item"
"0 to 1.59","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
