"TYXP221.Code.or.Value","TYXP221.Value.Description","TYXP221.Count","TYXP221.Cumulative","TYXP221.Skip.to.Item"
"-295 to 167","Range of Values",161,161,NA
".","Missing",5424,5585,NA
