"WBXF024.Code.or.Value","WBXF024.Value.Description","WBXF024.Count","WBXF024.Cumulative","WBXF024.Skip.to.Item"
"727.8266 to 727.8266","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
